All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MA-H-Abyss-Contig  MA-H-Cabog-Contig  MA-H-Mira-Contig  MA-H-Msrca-Contig  MA-H-Sga-Contig  MA-H-Soap-Contig  MA-H-Spades-Contig  MA-H-Velvet-Contig
# contigs (>= 200 bp)        124                127                3293              66                 378              91                96                  155               
# contigs (>= 1000 bp)       87                 127                59                57                 281              65                60                  132               
Total length (>= 200 bp)     5132153            5116091            5975924           5146013            5145246          5142390           5139536             5131723           
Total length (>= 1000 bp)    5116313            5116091            5136999           5140375            5107561          5131712           5122962             5122117           
# contigs                    96                 127                82                63                 304              71                74                  138               
Total length                 5123560            5116091            5151058           5144734            5122631          5136175           5132082             5126222           
Largest contig               610290             238341             338337            375149             101254           474277            627055              191465            
Reference length             5090491            5090491            5090491           5090491            5090491          5090491           5090491             5090491           
GC (%)                       64.10              64.10              64.11             64.13              64.11            64.09             64.11               64.11             
Reference GC (%)             64.15              64.15              64.15             64.15              64.15            64.15             64.15               64.15             
N50                          119446             81416              147272            246830             28734            148639            150258              60955             
NG50                         119446             81416              147272            246830             28781            148639            150258              61615             
N75                          68977              42966              109542            110872             17153            88169             94999               37038             
NG75                         68977              42966              109542            110872             17362            88169             107346              37038             
L50                          15                 21                 12                9                  55               11                10                  28                
LG50                         15                 21                 12                9                  54               11                10                  27                
L75                          29                 43                 22                17                 110              22                20                  54                
LG75                         29                 43                 22                17                 109              22                19                  54                
# misassemblies              4                  7                  22                6                  3                8                 4                   4                 
Misassembled contigs length  302822             612517             1331243           1062986            114888           1261153           551561              215454            
# local misassemblies        8                  6                  6                 2                  1                16                5                   9                 
# unaligned contigs          0 + 3 part         0 + 6 part         0 + 1 part        0 + 0 part         0 + 3 part       1 + 1 part        0 + 1 part          0 + 2 part        
Unaligned contigs length     66194              65602              25                0                  66157            17284             54213               66112             
Genome fraction (%)          99.073             98.890             99.388            99.341             98.859           99.196            99.242              99.146            
Duplication ratio            1.019              1.004              1.027             1.018              1.005            1.022             1.013               1.019             
# N's per 100 kbp            12.10              0.70               2.06              0.00               0.00             0.00              0.00                0.00              
# mismatches per 100 kbp     3.93               8.55               5.69              49.65              1.10             1.71              2.14                3.05              
# indels per 100 kbp         2.19               5.83               0.87              6.53               1.50             1.25              1.68                0.92              
# genes                      4874 + 85 part     4827 + 136 part    4902 + 65 part    4910 + 56 part     4711 + 246 part  4888 + 74 part    4897 + 65 part      4822 + 135 part   
Largest alignment            610150             238341             313312            309535             101254           474277            627055              191465            
NA50                         111763             78165              129075            187809             27712            147199            147871              58337             
NGA50                        115738             78165              129075            187809             27760            147199            147871              58337             
NA75                         63561              38766              88214             88132              15475            75472             80282               34078             
NGA75                        63561              40137              88214             88132              15983            75472             80282               35836             
LA50                         16                 23                 15                10                 57               12                10                  29                
LGA50                        15                 23                 15                10                 56               12                10                  29                
LA75                         31                 47                 26                19                 116              24                21                  57                
LGA75                        31                 46                 26                19                 114              24                21                  56                
