All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     AH-H-Abyss-Scaffold broken  AH-H-Abyss-Scaffold  AH-H-Cabog-Scaffold broken  AH-H-Cabog-Scaffold  AH-H-Msrca-Scaffold broken  AH-H-Msrca-Scaffold  AH-H-Sga-Scaffold broken  AH-H-Sga-Scaffold  AH-H-Soap-Scaffold broken  AH-H-Soap-Scaffold  AH-H-Spades-Scaffold broken  AH-H-Spades-Scaffold  AH-H-Velvet-Scaffold broken  AH-H-Velvet-Scaffold
# contigs (>= 500 bp)        48                          45                   94                          37                   28                          26                   138                       138                32                         32                  40                           40                    53                           30                  
# contigs (>= 1000 bp)       47                          43                   81                          37                   25                          23                   131                       131                28                         28                  31                           31                    51                           28                  
Total length (>= 500 bp)     4967765                     4969781              5004541                     5010956              4914380                     4914420              4864352                   4864352            4889068                    4889068             4928940                      4928940               4886581                      4888113             
Total length (>= 1000 bp)    4966849                     4968254              4994206                     5010956              4912397                     4912437              4859624                   4859624            4886477                    4886477             4922634                      4922634               4884654                      4886186             
# contigs                    48                          45                   94                          37                   28                          26                   138                       138                32                         32                  40                           40                    53                           30                  
Total length                 4967765                     4969781              5004541                     5010956              4914380                     4914420              4864352                   4864352            4889068                    4889068             4928940                      4928940               4886581                      4888113             
Largest contig               654090                      654090               710684                      712801               1124684                     1124684              199964                    199964             656756                     656756              703652                       703652                526254                       803895              
Reference length             4744448                     4744448              4744448                     4744448              4744448                     4744448              4744448                   4744448            4744448                    4744448             4744448                      4744448               4744448                      4744448             
GC (%)                       61.54                       61.53                61.60                       61.60                61.61                       61.61                61.63                     61.63              61.61                      61.61               61.54                        61.54                 61.61                        61.61               
Reference GC (%)             61.55                       61.55                61.55                       61.55                61.55                       61.55                61.55                     61.55              61.55                      61.55               61.55                        61.55                 61.55                        61.55               
N50                          237457                      268392               278382                      278382               828647                      862315               67129                     67129              334435                     334435              379681                       379681                180361                       301388              
NG50                         244971                      268392               278382                      278382               828647                      862315               68839                     68839              334435                     334435              491198                       491198                184389                       335956              
N75                          122207                      137136               133236                      189722               235264                      245339               39052                     39052              230185                     230185              230049                       230049                93861                        229873              
NG75                         128961                      137898               156215                      207147               245339                      245339               40005                     40005              230185                     230185              237931                       237931                104748                       229873              
L50                          7                           6                    6                           6                    3                           3                    25                        25                 5                          5                   5                            5                     9                            5                   
LG50                         6                           6                    6                           6                    3                           3                    24                        24                 5                          5                   4                            4                     8                            4                   
L75                          15                          13                   12                          11                   7                           6                    49                        49                 9                          9                   9                            9                     18                           9                   
LG75                         14                          12                   11                          10                   6                           6                    47                        47                 9                          9                   8                            8                     17                           9                   
# misassemblies              0                           1                    2                           2                    2                           2                    3                         3                  0                          0                   1                            1                     0                            0                   
Misassembled contigs length  0                           2772                 28456                       28456                3104                        3104                 131784                    131784             0                          0                   579                          579                   0                            0                   
# local misassemblies        0                           0                    1                           1                    0                           0                    9                         9                  1                          1                   0                            0                     0                            0                   
# unaligned contigs          9 + 31 part                 9 + 28 part          40 + 32 part                10 + 25 part         2 + 21 part                 1 + 20 part          65 + 61 part              65 + 61 part       6 + 19 part                6 + 19 part         11 + 21 part                 11 + 21 part          10 + 39 part                 6 + 20 part         
Unaligned contigs length     4232723                     4240350              4265289                     4308234              4256366                     4256409              4055731                   4055731            4194663                    4194663             4195839                      4195839               4183402                      4200746             
Genome fraction (%)          15.006                      14.876               14.751                      14.450               13.728                      13.730               15.814                    15.814             14.613                     14.613              15.085                       15.085                14.808                       14.477              
Duplication ratio            1.032                       1.033                1.056                       1.025                1.010                       1.010                1.078                     1.078              1.002                      1.002               1.024                        1.024                 1.001                        1.001               
# N's per 100 kbp            0.02                        9.88                 0.00                        31.65                0.00                        0.81                 0.00                      0.00               0.20                       0.20                1.28                         1.28                  0.00                         23.08               
# mismatches per 100 kbp     2894.83                     2698.92              3837.64                     4041.34              3634.39                     3634.39              4147.71                   4147.71            3651.42                    3651.42             2956.05                      2956.05               3648.52                      3612.72             
# indels per 100 kbp         115.52                      117.12               141.51                      201.68               140.76                      140.76               166.92                    166.92             126.16                     126.16              111.67                       111.67                120.10                       113.49              
# genes                      606 + 66 part               603 + 65 part        598 + 73 part               592 + 67 part        565 + 66 part               566 + 66 part        623 + 75 part             623 + 75 part      598 + 64 part              598 + 64 part       613 + 62 part                613 + 62 part         606 + 61 part                592 + 57 part       
Largest alignment            52419                       52419                52397                       52397                52419                       52419                52419                     52419              52419                      52419               52419                        52419                 52419                        52419               
