reference chromosomes:
	gi|346722940|ref|NC_016010.1|_Xanthomonas_axonopodis_pv._citrumelo_F1_chromosome__complete_genome (4967469 bp)

total genome size: 4967469

gap min size: 50
partial gene/operon min size: 100

genes loaded: 4262


assembly                 | genome    | duplication | gaps      | genes     | partial   | operons   | partial   |
                         | fraction  | ratio       | number    |           | genes     |           | operons   |
================================================================================================================
XA-H-Abyss               | 20.4529107278%| 1.13334849093| 138       | 811       | 78        | -         | -         |
XA-H-Cabog               | 19.5970624074%| 1.08268907977| 139       | 774       | 78        | -         | -         |
XA-H-Mira                | 19.8604963614%| 1.09793383906| 138       | 780       | 79        | -         | -         |
XA-H-Msrca               | 20.0640406614%| 1.08023678732| 132       | 795       | 70        | -         | -         |
XA-H-Sga                 | 21.4030726714%| 1.15393941446| 160       | 836       | 99        | -         | -         |
XA-H-Soap                | 20.2856223159%| 1.06001099553| 146       | 803       | 87        | -         | -         |
XA-H-Spades              | 20.1814847763%| 1.08081124459| 137       | 801       | 77        | -         | -         |
XA-H-Velvet              | 19.8993088835%| 1.10012220635| 141       | 784       | 81        | -         | -         |
