Assembly	velvet
# contigs (>= 0 bp)	177
# contigs (>= 1000 bp)	108
Total length (>= 0 bp)	3905444
Total length (>= 1000 bp)	3875057
# contigs	133
Total length	3892321
Largest contig	246346
Reference length	2961149
GC (%)	47.69
Reference GC (%)	47.70
N50	105176
NG50	131915
N75	43442
NG75	93025
L50	12
LG50	8
L75	26
LG75	14
# misassemblies	3
Misassembled contigs length	17058
# local misassemblies	2
# unaligned contigs	52 + 16 part
Unaligned contigs length	1011794
Genome fraction (%)	97.074
Duplication ratio	1.010
# N's per 100 kbp	1.28
# mismatches per 100 kbp	4.07
# indels per 100 kbp	1.88
Largest alignment	246346
NA50	77000
NGA50	118025
NGA75	49571
LA50	13
LGA50	8
LGA75	17
