All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     202_BC-H-Abyss-Contig    202_BC-H-Cabog-Contig    202_BC-H-Mira-Contig    202_BC-H-Msrca-Contig    202_BC-H-Sga-Contig    202_BC-H-Soap-Contig    202_BC-H-Spades-Contig    202_BC-H-Velvet-Contig    204_BC-M-Abyss-Contig    204_BC-M-Cabog-Contig    204_BC-M-Mira-Contig    204_BC-M-Msrca-Contig    204_BC-M-Sga-Contig    204_BC-M-Soap-Contig    204_BC-M-Spades-Contig    204_BC-M-Velvet-Contig    
# contigs (>= 0 bp)          894                      164                      687                     259                      30012                  3161                    1127                      527                       617                      78                       164                     90                       3344                   123                     50090                     444                       
# contigs (>= 1000 bp)       325                      163                      437                     180                      463                    248                     179                       251                       82                       77                       96                      55                       320                    73                      99                        351                       
Total length (>= 0 bp)       5879341                  4797470                  5670388                 5640375                  8771094                5991251                 5962659                   5016338                   5431491                  5419995                  5422635                 5440292                  6180355                5352193                 17888992                  5325180                   
Total length (>= 1000 bp)    5771919                  4796994                  5517018                 5602907                  5397822                5573897                 5678972                   4944132                   5376981                  5419570                  5389079                 5422846                  5340740                5337776                 5385812                   5295268                   
# contigs                    374                      163                      610                     210                      567                    284                     252                       282                       87                       77                       132                     68                       361                    79                      113                       373                       
Total length                 5805336                  4796994                  5641826                 5624071                  5471145                5599263                 5729752                   4966856                   5380960                  5419570                  5413818                 5432639                  5368062                5341631                 5395402                   5310336                   
Largest contig               257581                   387299                   524448                  397830                   108975                 268115                  459337                    267159                    430487                   258489                   311769                  766822                   106317                 606530                  346945                    91844                     
Reference length             5432652                  5432652                  5432652                 5432652                  5432652                5432652                 5432652                   5432652                   5432652                  5432652                  5432652                 5432652                  5432652                5432652                 5432652                   5432652                   
GC (%)                       35.20                    34.96                    35.21                   35.21                    35.18                  35.19                   35.26                     35.48                     35.30                    35.41                    35.42                   35.39                    35.30                  35.28                   35.36                     35.29                     
Reference GC (%)             35.50                    35.50                    35.50                   35.50                    35.50                  35.50                   35.50                     35.50                     35.50                    35.50                    35.50                   35.50                    35.50                  35.50                   35.50                     35.50                     
N50                          42572                    79405                    43373                   97165                    23397                  57780                   94312                     44126                     130570                   155352                   116480                  246697                   25767                  246346                  103691                    24786                     
NG50                         48302                    61625                    47354                   103595                   23414                  57933                   97169                     38930                     130570                   155352                   116480                  246697                   25512                  246346                  103691                    24465                     
N75                          19054                    31477                    15003                   34913                    10868                  21257                   37419                     20909                     69698                    76333                    52231                   170659                   16197                  78462                   60216                     13917                     
NG75                         21996                    18467                    18696                   40080                    11069                  23414                   48782                     14779                     65667                    76333                    52231                   170659                   15678                  74856                   57869                     13213                     
L50                          38                       17                       28                      16                       69                     30                      15                        33                        12                       13                       14                      6                        64                     6                       17                        65                        
LG50                         34                       22                       25                      15                       68                     29                      14                        39                        12                       13                       14                      6                        65                     6                       17                        68                        
L75                          92                       43                       85                      40                       155                    74                      38                        74                        26                       26                       32                      13                       129                    16                      34                        136                       
LG75                         78                       63                       75                      36                       153                    68                      33                        94                        27                       26                       32                      13                       132                    17                      35                        143                       
# misassemblies              5                        0                        1                       4                        0                      1                       5                         0                         2                        4                        8                       9                        1                      0                       5                         3                         
Misassembled contigs length  3003                     0                        995                     3269                     0                      503                     3725                      0                         52909                    541451                   532679                  289559                   508                    0                       105455                    72913                     
# local misassemblies        2                        0                        0                       1                        0                      1                       0                         0                         25                       6                        14                      11                       1                      21                      14                        11                        
# unaligned contigs          317 + 42 part            122 + 41 part            490 + 70 part           152 + 50 part            541 + 26 part          250 + 31 part           179 + 55 part             250 + 27 part             0 + 1 part               0 + 1 part               3 + 4 part              0 + 1 part               0 + 2 part             1 + 0 part              2 + 1 part                1 + 3 part                
Unaligned contigs length     5755368                  4757247                  5551044                 5565814                  5444412                5562696                 5659887                   4924740                   2338                     2142                     5369                    2142                     2237                   2316                    3406                      2596                      
Genome fraction (%)          0.792                    0.588                    1.555                   0.897                    0.488                  0.656                   1.048                     0.759                     98.451                   99.323                   99.155                  99.160                   98.348                 98.226                  98.926                    97.661                    
Duplication ratio            1.163                    1.244                    1.075                   1.198                    1.008                  1.026                   1.229                     1.022                     1.010                    1.006                    1.010                   1.011                    1.004                  1.003                   1.008                     1.003                     
