Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SOAPdenovo_miseq_scf broken	SOAPdenovo_miseq_scf	SOAPdenovo_hiseq_scf broken	SOAPdenovo_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# contigs (>= 200 bp)	188	188	144	94	173	173	137	102	415	212	418	114	1479	1479	137	137	178	173	264	142
# contigs (>= 1000 bp)	188	188	142	94	142	142	108	77	231	138	280	58	75	75	72	72	109	108	190	79
Total length (>= 200 bp)	318746	318746	3849141	3850141	4034988	4034988	3994843	3995543	3919930	3971575	3918230	3978826	4455833	4455833	4222123	4222123	3904607	3904657	3896060	3916708
Total length (>= 1000 bp)	318746	318746	3848582	3850141	4014349	4014349	3977918	3981085	3828146	3934276	3850636	3952597	3996618	3996618	4186225	4186225	3872867	3875057	3860441	3886781
# contigs	188	188	142	94	163	163	121	88	309	166	338	78	147	147	109	109	135	133	220	104
Total length	318746	318746	3848582	3850141	4030761	4030761	3988448	3990088	3882932	3955352	3891092	3967072	4042074	4042074	4211504	4211504	3891016	3892321	3880977	3903678
Largest contig	5646	5646	224340	355677	255146	255146	356964	555775	107390	247379	69634	577829	741022	741022	572859	572859	246346	246346	157783	411927
GC (%)	41.54	41.54	47.54	47.54	47.47	47.47	47.51	47.50	47.60	47.55	47.52	47.51	47.37	47.37	47.47	47.47	47.69	47.69	47.63	47.63
N50	1707	1707	57089	134075	76131	76131	108823	246836	30205	92267	23972	202254	262160	262160	225904	225904	105176	105176	41373	163386
N75	1367	1367	30707	52902	45736	45736	57567	85155	17200	39820	13646	104018	136216	136216	169794	169794	43442	43442	19470	75755
L50	69	69	20	10	16	16	9	6	37	14	53	6	5	5	6	6	12	12	29	8
L75	121	121	43	24	33	33	23	13	81	32	107	13	11	11	12	12	26	26	62	18
# N's per 100 kbp	0.00	0.00	0.00	25.97	0.00	0.00	0.00	17.54	0.00	1026.18	0.05	1287.95	5.84	5.84	9.00	9.00	0.00	1.28	0.00	515.80
