All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     dataset_592.dat broken  dataset_592.dat
# contigs (>= 0 bp)          864                     822            
# contigs (>= 1000 bp)       312                     302            
Total length (>= 0 bp)       5873796                 5875896        
Total length (>= 1000 bp)    5774294                 5784758        
# contigs                    353                     341            
Total length                 5801552                 5810521        
Largest contig               257581                  257581         
Reference length             5432652                 5432652        
GC (%)                       35.20                   35.21          
Reference GC (%)             35.50                   35.50          
N50                          47088                   48439          
NG50                         48622                   51322          
N75                          20272                   20272          
NG75                         22430                   22540          
L50                          37                      32             
LG50                         33                      28             
L75                          87                      81             
LG75                         74                      67             
# misassemblies              6                       5              
Misassembled contigs length  4592                    4676           
# local misassemblies        2                       1              
# unaligned contigs          298 + 42 part           288 + 41 part  
Unaligned contigs length     5752078                 5760196        
Genome fraction (%)          0.801                   0.822          
Duplication ratio            1.143                   1.133          
# N's per 100 kbp            0.00                    33.56          
# mismatches per 100 kbp     3420.48                 3224.88        
# indels per 100 kbp         185.47                  172.50         
Largest alignment            9186                    9186           
