Assembly	GAGE-B	k89H	k99H
# contigs (>= 200 bp)	105	179	119
# contigs (>= 1000 bp)	80	135	72
Total length (>= 200 bp)	3994617	4013483	194673
Total length (>= 1000 bp)	3980159	3986296	162098
# contigs	91	164	108
Total length	3989162	4007678	190023
Largest contig	555664	211069	4811
Reference length	4033464	4033464	4033464
GC (%)	47.50	47.51	43.79
Reference GC (%)	47.49	47.49	47.49
N50	241604	93473	2355
N75	85155	43374	1312
L50	6	14	29
L75	13	30	56
# misassemblies	8	8	2
Misassembled contigs length	708761	228152	4646
# local misassemblies	5	6	0
# unaligned contigs	0 + 2 part	0 + 4 part	0 + 0 part
Unaligned contigs length	399	475	0
Genome fraction (%)	98.147	98.498	4.709
Duplication ratio	1.013	1.009	1.004
# N's per 100 kbp	0.00	0.00	0.00
# mismatches per 100 kbp	68.61	50.57	30.01
# indels per 100 kbp	6.90	5.64	10.53
# genes	3573 + 46 part	3541 + 87 part	94 + 129 part
Largest alignment	555664	211069	4811
NA50	236373	81529	2208
NA75	76901	43374	1297
LA50	6	15	30
LA75	15	31	57
