Assembly	miseq	hiseq
# contigs (>= 200 bp)	647	430
# contigs (>= 1000 bp)	240	274
Total length (>= 200 bp)	4003988	3892845
Total length (>= 1000 bp)	3839951	3822893
# contigs	309	331
Total length	3888999	3861930
Largest contig	105420	108154
Reference length	4033464	4033464
GC (%)	47.54	47.55
Reference GC (%)	47.49	47.49
N50	27931	24152
NG50	27303	23429
N75	15534	12815
NG75	14781	10978
L50	44	48
LG50	47	52
L75	92	102
LG75	99	113
# misassemblies	2	3
Misassembled contigs length	18041	17831
# local misassemblies	1	0
# unaligned contigs	0 + 1 part	1 + 0 part
Unaligned contigs length	461	551
Genome fraction (%)	95.708	95.589
Duplication ratio	1.007	1.002
# N's per 100 kbp	1.31	0.00
# mismatches per 100 kbp	2.82	2.98
# indels per 100 kbp	2.75	2.62
# genes	3316 + 129 part	3272 + 159 part
Largest alignment	105420	108154
NA50	27931	24152
NGA50	27303	23429
NA75	15534	12813
NGA75	14781	10978
LA50	44	48
LGA50	47	52
LA75	92	102
LGA75	99	113
