Assembly	BC-M-Abyss-Contig	BC-M-Cabog-Contig	BC-M-Mira-Contig	BC-M-Msrca-Contig	BC-M-Sga-Contig	BC-M-Soap-Contig	BC-M-Spades-Contig	BC-M-Velvet-Contig
# contigs (>= 0 bp)	617	78	164	90	3344	123	50090	444
# contigs (>= 1000 bp)	82	77	96	55	320	73	99	351
Total length (>= 0 bp)	5431491	5419995	5422635	5440292	6180355	5352193	17888992	5325180
Total length (>= 1000 bp)	5376981	5419570	5389079	5422846	5340740	5337776	5385812	5295268
# contigs	87	77	132	68	361	79	113	373
Total length	5380960	5419570	5413818	5432639	5368062	5341631	5395402	5310336
Largest contig	430487	258489	311769	766822	106317	606530	346945	91844
Reference length	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652
GC (%)	35.30	35.41	35.42	35.39	35.30	35.28	35.36	35.29
Reference GC (%)	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50
N50	130570	155352	116480	246697	25767	246346	103691	24786
NG50	130570	155352	116480	246697	25512	246346	103691	24465
N75	69698	76333	52231	170659	16197	78462	60216	13917
NG75	65667	76333	52231	170659	15678	74856	57869	13213
L50	12	13	14	6	64	6	17	65
LG50	12	13	14	6	65	6	17	68
L75	26	26	32	13	129	16	34	136
LG75	27	26	32	13	132	17	35	143
# misassemblies	2	4	8	9	1	0	5	3
Misassembled contigs length	52909	541451	532679	289559	508	0	105455	72913
# local misassemblies	25	6	14	11	1	21	14	11
# unaligned contigs	0 + 1 part	0 + 1 part	3 + 4 part	0 + 1 part	0 + 2 part	1 + 0 part	2 + 1 part	1 + 3 part
Unaligned contigs length	2338	2142	5369	2142	2237	2316	3406	2596
Genome fraction (%)	98.451	99.323	99.155	99.160	98.348	98.226	98.926	97.661
Duplication ratio	1.010	1.006	1.010	1.011	1.004	1.003	1.008	1.003
# N's per 100 kbp	102.42	0.00	3.53	0.00	0.00	0.00	4.10	0.00
# mismatches per 100 kbp	6.56	4.80	4.85	9.08	0.80	8.96	12.78	6.18
# indels per 100 kbp	8.00	2.41	2.21	3.58	2.04	2.98	2.92	3.13
# genes	5813 + 73 part	5934 + 64 part	5919 + 85 part	5961 + 43 part	5684 + 231 part	5828 + 58 part	5896 + 68 part	5543 + 328 part
Largest alignment	430487	258489	311769	766822	106317	606357	346882	91844
NA50	130570	150479	100038	246697	25767	246346	103691	24577
NGA50	130570	150479	100038	246697	25512	246346	103691	24465
NA75	69698	74529	51519	170659	16197	78462	60216	13814
NGA75	65667	74529	51519	170659	15678	74856	57817	13213
LA50	12	14	15	6	64	6	17	66
LGA50	12	14	15	6	65	6	17	68
LA75	26	27	34	13	129	16	34	137
LGA75	27	27	34	13	132	17	35	143
