Assembly	GAGE-B	SOAPdenovo2
# contigs (>= 200 bp)	139	462
# contigs (>= 1000 bp)	81	294
Total length (>= 200 bp)	3945991	3931705
Total length (>= 1000 bp)	3919085	3851746
# contigs	100	364
Total length	3932751	3899782
Largest contig	425556	69685
Reference length	4033464	4033464
GC (%)	47.52	47.53
Reference GC (%)	47.49	47.49
N50	135118	21660
NG50	125939	20717
N75	65780	12597
NG75	62739	11591
L50	10	57
LG50	11	60
L75	21	115
LG75	22	123
# misassemblies	15	2
Misassembled contigs length	1155029	9685
# local misassemblies	50	0
# unaligned contigs	1 + 1 part	1 + 0 part
Unaligned contigs length	603	551
Genome fraction (%)	97.295	96.488
Duplication ratio	1.009	1.002
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	14.02	3.31
# indels per 100 kbp	5.58	2.85
# genes	3479 + 50 part	3274 + 189 part
Largest alignment	425699	69685
NA50	112904	21657
NGA50	112904	20717
NA75	62739	12597
NGA75	62256	11588
LA50	11	57
LGA50	11	60
LA75	22	115
LGA75	23	123
