All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 200 bp)  # contigs (>= 1000 bp)  Total length (>= 200 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75
RS-M-Abyss-Contig     486                    339                     4533981                   4474301                    382        4503182       71578           4602977           68.77   68.79             22050   21441   11736   11021   67   70    137  144   2                24651                        2                      0 + 2 part           96                        97.762               1.003              0.00               3.38                      0.24                  4120 + 275 part  71578              22050   21441   11706   11021   67    70     138   144  
RS-M-Cabog-Contig     146                    145                     3952525                   3952023                    146        3952525       127844          4602977           69.06   68.79             41794   31540   22363   15957   30   39    64   89    6                119353                       2                      0 + 1 part           78                        85.599               1.009              5.31               7.11                      0.46                  3738 + 140 part  127843             41176   30364   22361   15957   31    41     66    91   
RS-M-Mira-Contig      867                    528                     4660114                   4462783                    731        4609809       67456           4602977           68.75   68.79             15792   15792   8236    8326    90   90    191  190   20               162528                       6                      0 + 2 part           43                        98.849               1.019              2.58               39.58                     5.14                  3952 + 505 part  67456              15445   15445   7925    7925    91    91     194   194  
RS-M-Msrca-Contig     63                     53                      4247935                   4242597                    58         4246144       241348          4602977           68.90   68.79             142742  130714  102371  64787   12   13    21   24    5                41134                        4                      0 + 1 part           23                        91.960               1.004              0.00               9.66                      0.78                  4110 + 45 part   241348             142742  130714  102371  64787   12    13     21    24   
RS-M-Sga-Contig       986                    726                     4613222                   4486986                    830        4563433       44874           4602977           68.79   68.79             9224    9108    4941    4854    150  152   321  327   3                10550                        1                      0 + 1 part           11                        98.390               1.008              0.00               0.88                      0.40                  3806 + 647 part  44874              9224    9108    4933    4825    150   152    322   328  
RS-M-Soap-Contig      437                    302                     4553760                   4489150                    354        4527360       115051          4602977           68.83   68.79             33829   33491   16889   15849   44   45    88   91    1                3702                         10                     0 + 1 part           383                       97.983               1.008              0.00               3.13                      0.78                  4132 + 306 part  115051             33829   33491   16889   15822   44    45     88    92   
RS-M-Spades-Contig    185                    100                     4609322                   4584948                    105        4588344       286217          4602977           68.81   68.79             118093  118093  53389   53389   15   15    30   30    9                216655                       4                      0 + 0 part           0                         99.418               1.004              10.16              8.13                      0.79                  4383 + 72 part   286217             118093  118093  52010   52010   15    15     30    30   
RS-M-Velvet-Contig    416                    307                     4512665                   4467985                    332        4485514       71713           4602977           68.77   68.79             24347   24248   14804   13982   58   60    115  121   3                92376                        8                      1 + 0 part           688                       97.422               1.000              0.00               10.50                     0.65                  4135 + 276 part  71713              24300   24205   14804   13982   59    61     116   122  
RS-M-Abyss-Scaffold   486                    339                     4533981                   4474301                    382        4503182       71578           4602977           68.77   68.79             22050   21441   11736   11021   67   70    137  144   2                24651                        2                      0 + 2 part           96                        97.762               1.003              0.00               3.38                      0.24                  4120 + 275 part  71578              22050   21441   11706   11021   67    70     138   144  
RS-M-Cabog-Scaffold   131                    131                     3953489                   3953489                    131        3953489       177098          4602977           69.06   68.79             45887   40287   25501   16846   26   33    55   79    6                135726                       6                      0 + 1 part           78                        85.611               1.024              20.77              7.23                      4.75                  3751 + 128 part  177098             42489   36097   24136   16846   27    35     58    81   
RS-M-Msrca-Scaffold   55                     47                      4248140                   4243514                    52         4247061       241348          4602977           68.90   68.79             165131  144812  104435  77487   11   12    19   22    5                40523                        7                      0 + 1 part           23                        91.940               1.010              4.83               9.62                      2.43                  4114 + 39 part   241348             165131  144812  104435  77487   11    12     19    22   
RS-M-Sga-Scaffold     778                    656                     4107334                   4032589                    733        4091078       44874           4602977           69.03   68.79             9086    7971    4930    3567    136  166   291  381   0                0                            1                      0 + 0 part           0                         88.235               1.007              0.00               0.25                      0.37                  3435 + 590 part  44874              9086    7971    4930    3567    136   166    291   381  
RS-M-Soap-Scaffold    226                    180                     4560810                   4545945                    185        4549335       204500          4602977           68.83   68.79             45133   45133   27903   26996   32   32    63   65    2                18416                        215                    0 + 0 part           0                         98.191               1.011              139.23             3.14                      0.77                  4133 + 309 part  204215             45022   45022   27902   26839   32    32     63    65   
RS-M-Spades-Scaffold  145                    69                      4667869                   4646673                    73         4649550       425067          4602977           68.76   68.79             151794  151794  104015  114243  11   11    20   19    12               461715                       8                      0 + 0 part           0                         99.496               1.017              11.08              7.55                      3.80                  4407 + 48 part   425067             151794  151794  104015  112545  11    11     20    19   
RS-M-Velvet-Scaffold  209                    130                     4547424                   4518112                    143        4526809       236829          4602977           68.77   68.79             88399   85272   39660   37869   17   18    36   37    16               564277                       188                    0 + 0 part           0                         97.568               1.008              739.09             10.75                     5.19                  4152 + 267 part  234789             84960   84960   37869   33962   18    18     37    39   
