All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     BC-H-Abyss    BC-M-Abyss    BC-H-Cabog    BC-M-Cabog    BC-H-Mira     BC-M-Mira      BC-H-Msrca    BC-M-Msrca    BC-H-Sga      BC-M-Sga       BC-H-Soap     BC-M-Soap      BC-H-Spades   BC-M-Spades   BC-H-Velvet   BC-M-Velvet  
# contigs (>= 0 bp)          894           617           164           78            687           164            259           90            30012         3344           3161          123            1127          50090         527           444          
# contigs (>= 1000 bp)       325           82            163           77            437           96             180           55            463           320            248           73             179           99            251           351          
Total length (>= 0 bp)       5879341       5431491       4797470       5419995       5670388       5422635        5640375       5440292       8771094       6180355        5991251       5352193        5962659       17888992      5016338       5325180      
Total length (>= 1000 bp)    5771919       5376981       4796994       5419570       5517018       5389079        5602907       5422846       5397822       5340740        5573897       5337776        5678972       5385812       4944132       5295268      
# contigs                    374           87            163           77            610           132            210           68            567           361            284           79             252           113           282           373          
Total length                 5805336       5380960       4796994       5419570       5641826       5413818        5624071       5432639       5471145       5368062        5599263       5341631        5729752       5395402       4966856       5310336      
Largest contig               257581        430487        387299        258489        524448        311769         397830        766822        108975        106317         268115        606530         459337        346945        267159        91844        
Reference length             208369        208369        208369        208369        208369        208369         208369        208369        208369        208369         208369        208369         208369        208369        208369        208369       
GC (%)                       35.20         35.30         34.96         35.41         35.21         35.42          35.21         35.39         35.18         35.30          35.19         35.28          35.26         35.36         35.48         35.29        
Reference GC (%)             33.44         33.44         33.44         33.44         33.44         33.44          33.44         33.44         33.44         33.44          33.44         33.44          33.44         33.44         33.44         33.44        
N50                          42572         130570        79405         155352        43373         116480         97165         246697        23397         25767          57780         246346         94312         103691        44126         24786        
NG50                         257581        430487        387299        258489        524448        311769         397830        766822        108975        106317         268115        606530         459337        346945        267159        90692        
N75                          19054         69698         31477         76333         15003         52231          34913         170659        10868         16197          21257         78462          37419         60216         20909         13917        
NG75                         257581        430487        387299        258489        524448        311769         397830        766822        108597        93548          268115        606530         459337        346945        267159        90692        
L50                          38            12            17            13            28            14             16            6             69            64             30            6              15            17            33            65           
LG50                         1             1             1             1             1             1              1             1             1             1              1             1              1             1             1             2            
L75                          92            26            43            26            85            32             40            13            155           129            74            16             38            34            74            136          
LG75                         1             1             1             1             1             1              1             1             2             2              1             1              1             1             1             2            
# misassemblies              -             0             -             0             -             0              -             0             -             0              -             0              -             0             -             1            
Misassembled contigs length  -             0             -             0             -             0              -             0             -             0              -             0              -             0             -             6055         
# local misassemblies        -             2             -             0             -             3              -             1             -             0              -             1              -             2             -             2            
# unaligned contigs          374 + 0 part  70 + 8 part   163 + 0 part  61 + 7 part   610 + 0 part  105 + 10 part  210 + 0 part  55 + 6 part   567 + 0 part  328 + 8 part   284 + 0 part  60 + 0 part    252 + 0 part  93 + 8 part   282 + 0 part  339 + 1 part 
Unaligned contigs length     5805336       5147950       4796994       5191132       5641826       5194326        5624071       5207791       5471145       5156311        5599263       5133980        5729752       5173325       4966856       5108664      
Genome fraction (%)          -             99.427        -             99.930        -             100.000        -             100.000       -             99.588         -             99.588         -             99.901        -             96.901       
Duplication ratio            -             1.125         -             1.097         -             1.055          -             1.081         -             1.020          -             1.002          -             1.116         -             1.002        
# N's per 100 kbp            0.00          102.42        0.00          0.00          4.54          3.53           0.00          0.00          0.00          0.00           0.00          0.00           16.04         4.10          0.00          0.00         
# mismatches per 100 kbp     -             7.24          -             1.03          -             4.75           -             5.28          -             0.96           -             2.41           -             9.13          -             9.41         
# indels per 100 kbp         -             5.31          -             2.59          -             2.64           -             28.32         -             2.89           -             2.89           -             5.28          -             1.98         
# genes                      -             234 + 7 part  -             236 + 6 part  -             235 + 7 part   -             240 + 2 part  -             230 + 11 part  -             231 + 11 part  -             240 + 2 part  -             205 + 29 part
Largest alignment            -             69698         -             74529         -             74370          -             84617         -             48739          -             46937          -             103897        -             24180        
NGA50                        -             39488         -             22638         -             22654          -             46705         -             19255          -             19586          -             46136         -             7949         
NGA75                        -             23521         -             14100         -             12504          -             33826         -             6188           -             12040          -             32207         -             4313         
LGA50                        -             2             -             3             -             3              -             2             -             4              -             4              -             2             -             8            
LGA75                        -             4             -             6             -             6              -             3             -             10             -             7              -             3             -             17           
