##gff-version 3
#!gff-spec-version 1.20
#!processor NCBI annotwriter
##sequence-region NC_002506.1 1 1072315
##species http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=243277
NC_002506.1	RefSeq	region	1	1072315	.	+	.	ID=id0;Dbxref=taxon:243277;Is_circular=true;biotype=El Tor;chromosome=II;gbkey=Src;genome=chromosome;mol_type=genomic DNA;old-name=Vibrio cholerae O1 biovar eltor str. N16961;serotype=O1;strain=N16961
NC_002506.1	RefSeq	gene	1134	3110	.	+	.	ID=gene0;Name=VCA0002;Dbxref=GeneID:2612528;gbkey=Gene;locus_tag=VCA0002
NC_002506.1	RefSeq	CDS	1134	3110	.	+	0	ID=cds0;Name=NP_232403.1;Parent=gene0;Dbxref=Genbank:NP_232403.1,GeneID:2612528;gbkey=CDS;product=hypothetical protein;protein_id=NP_232403.1;transl_table=11
NC_002506.1	RefSeq	gene	3330	3944	.	-	.	ID=gene1;Name=VCA0003;Dbxref=GeneID:2612582;gbkey=Gene;locus_tag=VCA0003
NC_002506.1	RefSeq	CDS	3330	3944	.	-	0	ID=cds1;Name=NP_232404.1;Parent=gene1;Dbxref=Genbank:NP_232404.1,GeneID:2612582;gbkey=CDS;product=hypothetical protein;protein_id=NP_232404.1;transl_table=11
NC_002506.1	RefSeq	gene	4154	4351	.	+	.	ID=gene2;Name=VCA0004;Dbxref=GeneID:2612838;gbkey=Gene;locus_tag=VCA0004
NC_002506.1	RefSeq	CDS	4154	4351	.	+	0	ID=cds2;Name=NP_232405.1;Parent=gene2;Dbxref=Genbank:NP_232405.1,GeneID:2612838;gbkey=CDS;product=hypothetical protein;protein_id=NP_232405.1;transl_table=11
NC_002506.1	RefSeq	gene	4445	4723	.	+	.	ID=gene3;Name=VCA0005;Dbxref=GeneID:2612219;gbkey=Gene;locus_tag=VCA0005
NC_002506.1	RefSeq	CDS	4445	4723	.	+	0	ID=cds3;Name=NP_232406.1;Parent=gene3;Dbxref=Genbank:NP_232406.1,GeneID:2612219;gbkey=CDS;product=hypothetical protein;protein_id=NP_232406.1;transl_table=11
NC_002506.1	RefSeq	gene	4811	5530	.	+	.	ID=gene4;Name=VCA0006;Dbxref=GeneID:2612229;gbkey=Gene;locus_tag=VCA0006
NC_002506.1	RefSeq	CDS	4811	5530	.	+	0	ID=cds4;Name=NP_232407.1;Parent=gene4;Dbxref=Genbank:NP_232407.1,GeneID:2612229;gbkey=CDS;product=hypothetical protein;protein_id=NP_232407.1;transl_table=11
NC_002506.1	RefSeq	gene	5645	6520	.	+	.	ID=gene5;Name=VCA0007;Dbxref=GeneID:2612815;gbkey=Gene;locus_tag=VCA0007
