All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly               # contigs  Total length  Largest contig  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned contigs length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  # genes          Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75  
1_AH-H-Abyss-Contig    54         4969260       654090          4744448           61.53   61.55             237457  237457  121603  122207  7    7     15   14    0                0                            0                      12 + 34 part         4234083                   15.010               1.032              1.83               2686.51                   112.68                607 + 66 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Cabog-Contig    94         5004541       710684          4744448           61.60   61.55             278382  278382  133236  156215  6    6     12   11    2                28456                        1                      40 + 32 part         4265289                   14.751               1.056              0.00               3837.64                   141.51                598 + 73 part    52397              -       -       -       -       -     -      -     -      
1_AH-H-Mira-Contig     118        4958807       290325          4744448           61.57   61.55             244066  246249  137773  140806  10   9     16   15    1                19737                        3                      72 + 36 part         4226670                   15.145               1.021              4.21               3566.60                   156.57                633 + 64 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Msrca-Contig    28         4914380       1124684         4744448           61.61   61.55             828647  828647  235264  245339  3    3     7    6     2                3104                         0                      2 + 21 part          4256366                   13.728               1.010              0.00               3634.39                   140.76                565 + 66 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Sga-Contig      144        4869935       199964          4744448           61.62   61.55             67129   68839   38026   40005   25   24    50   47    3                131784                       9                      68 + 61 part         4059484                   15.852               1.078              0.00               4131.45                   166.19                623 + 77 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Soap-Contig     41         4888841       455879          4744448           61.61   61.55             243851  243851  136903  165019  8    8     15   14    0                0                            0                      6 + 28 part          4182196                   14.870               1.002              0.00               3967.49                   140.82                603 + 67 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Spades-Contig   47         4929385       592124          4744448           61.54   61.55             379681  379681  129901  137987  5    5     12   11    1                579                          0                      13 + 26 part         4192431                   15.166               1.024              1.28               3611.13                   134.68                617 + 62 part    52419              -       -       -       -       -     -      -     -      
1_AH-H-Velvet-Contig   53         4886581       526254          4744448           61.61   61.55             180361  184389  93861   104748  9    8     18   17    0                0                            0                      10 + 39 part         4183402                   14.808               1.001              0.00               3648.52                   120.10                606 + 61 part    52419              -       -       -       -       -     -      -     -      
2_BC-H-Abyss-Contig    374        5805336       257581          5432652           35.20   35.50             42572   48302   19054   21996   38   34    92   78    5                3003                         2                      317 + 42 part        5755368                   0.792                1.163              0.00               3383.28                   209.06                95 + 11 part     9186               -       -       -       -       -     -      -     -      
2_BC-H-Cabog-Contig    163        4796994       387299          5432652           34.96   35.50             79405   61625   31477   18467   17   22    43   63    0                0                            0                      122 + 41 part        4757247                   0.588                1.244              0.00               3550.71                   310.54                59 + 14 part     5194               -       -       -       -       -     -      -     -      
2_BC-H-Mira-Contig     610        5641826       524448          5432652           35.21   35.50             43373   47354   15003   18696   28   25    85   75    1                995                          0                      490 + 70 part        5551044                   1.555                1.075              4.54               3381.23                   117.36                119 + 77 part    5197               -       -       -       -       -     -      -     -      
2_BC-H-Msrca-Contig    210        5624071       397830          5432652           35.21   35.50             97165   103595  34913   40080   16   15    40   36    4                3269                         1                      152 + 50 part        5565814                   0.897                1.198              0.00               2881.27                   205.49                112 + 23 part    9186               -       -       -       -       -     -      -     -      
2_BC-H-Sga-Contig      567        5471145       108975          5432652           35.18   35.50             23397   23414   10868   11069   69   68    155  153   0                0                            0                      541 + 26 part        5444412                   0.488                1.008              0.00               3977.69                   118.45                22 + 6 part      5197               -       -       -       -       -     -      -     -      
