All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MA-H-Abyss-Scaffold broken  MA-H-Abyss-Scaffold  MA-H-Cabog-Scaffold broken  MA-H-Cabog-Scaffold  MA-H-Msrca-Scaffold broken  MA-H-Msrca-Scaffold  MA-H-Sga-Scaffold broken  MA-H-Sga-Scaffold  MA-H-Soap-Scaffold broken  MA-H-Soap-Scaffold  MA-H-Spades-Scaffold broken  MA-H-Spades-Scaffold  MA-H-Velvet-Scaffold broken  MA-H-Velvet-Scaffold
# contigs (>= 500 bp)        90                          64                   127                         109                  63                          56                   301                       301                71                         66                  57                           57                    138                          59                  
# contigs (>= 1000 bp)       83                          59                   127                         109                  57                          50                   281                       281                65                         61                  52                           52                    132                          53                  
Total length (>= 500 bp)     5123853                     5130175              5116053                     5116469              5144734                     5144874              5120987                   5120987            5136175                    5137467             5460110                      5460110               5126222                      5140427             
Total length (>= 1000 bp)    5118354                     5126457              5116053                     5116469              5140375                     5140515              5107561                   5107561            5131712                    5133645             5457060                      5457060               5122117                      5136322             
# contigs                    90                          64                   127                         109                  63                          56                   301                       301                71                         66                  57                           57                    138                          59                  
Total length                 5123853                     5130175              5116053                     5116469              5144734                     5144874              5120987                   5120987            5136175                    5137467             5460110                      5460110               5126222                      5140427             
Largest contig               303330                      965933               238341                      269229               375149                      375149               101254                    101254             474277                     474277              628906                       628906                191465                       622957              
Reference length             5090491                     5090491              5090491                     5090491              5090491                     5090491              5090491                   5090491            5090491                    5090491             5090491                      5090491               5090491                      5090491             
GC (%)                       64.10                       64.10                64.10                       64.10                64.13                       64.13                64.11                     64.11              64.09                      64.09               64.06                        64.06                 64.11                        64.11               
Reference GC (%)             64.15                       64.15                64.15                       64.15                64.15                       64.15                64.15                     64.15              64.15                      64.15               64.15                        64.15                 64.15                        64.15               
N50                          109929                      147937               81416                       94359                246830                      246830               28734                     28734              148639                     150256              215724                       215724                60955                        248309              
NG50                         109929                      147937               81416                       94359                246830                      246830               28781                     28781              148639                     150256              223056                       223056                61615                        262034              
N75                          72734                       113145               42966                       50959                110872                      122899               17153                     17153              88169                      95162               114286                       114286                37038                        95160               
NG75                         72734                       113145               42966                       50959                110872                      136061               17362                     17362              88169                      95162               125893                       125893                37038                        95160               
L50                          16                          8                    21                          19                   9                           9                    55                        55                 11                         10                  9                            9                     28                           8                   
LG50                         16                          8                    21                          19                   9                           9                    54                        54                 11                         10                  8                            8                     27                           7                   
L75                          31                          18                   43                          37                   17                          17                   110                       110                22                         20                  18                           18                    54                           17                  
LG75                         31                          18                   43                          37                   17                          16                   109                       109                22                         20                  16                           16                    54                           17                  
# misassemblies              5                           9                    7                           10                   6                           11                   3                         3                  8                          8                   8                            8                     4                            9                   
Misassembled contigs length  448721                      1764233              612517                      956535               1062986                     1758713              114888                    114888             1261153                    1380458             1288081                      1288081               215454                       1695861             
# local misassemblies        8                           28                   6                           13                   2                           4                    1                         1                  16                         22                  7                            7                     9                            83                  
# unaligned contigs          0 + 3 part                  0 + 1 part           0 + 5 part                  0 + 5 part           0 + 0 part                  0 + 0 part           0 + 3 part                0 + 3 part         1 + 1 part                 1 + 1 part          0 + 1 part                   0 + 1 part            0 + 2 part                   0 + 0 part          
Unaligned contigs length     66194                       11899                65564                       65564                0                           0                    66157                     66157              17284                      17284               54215                        54215                 66112                        0                   
Genome fraction (%)          99.057                      99.134               98.890                      98.892               99.341                      99.397               98.834                    98.834             99.196                     99.199              99.352                       99.352                99.146                       99.167              
Duplication ratio            1.019                       1.030                1.004                       1.012                1.018                       1.017                1.005                     1.005              1.022                      1.022               1.077                        1.077                 1.019                        1.035               
# N's per 100 kbp            1.72                        67.83                0.00                        8.09                 0.00                        2.72                 0.00                      0.00               0.00                       13.84               0.00                         0.00                  0.00                         262.49              
# mismatches per 100 kbp     10.00                       9.77                 8.55                        8.79                 49.65                       50.89                1.08                      1.08               1.71                       1.71                4.96                         4.96                  3.05                         3.05                
# indels per 100 kbp         2.51                        4.25                 5.83                        8.45                 6.53                        7.17                 1.50                      1.50               1.25                       1.25                3.84                         3.60                  0.92                         1.25                
# genes                      4877 + 83 part              4889 + 76 part       4827 + 136 part             4835 + 128 part      4910 + 56 part              4913 + 54 part       4711 + 244 part           4711 + 244 part    4888 + 74 part             4888 + 74 part      4908 + 57 part               4908 + 57 part        4822 + 135 part              4827 + 130 part     
Largest alignment            303330                      663800               238341                      238341               309535                      309535               101254                    101254             474277                     474277              628906                       628906                191465                       522498              
NA50                         98139                       127410               78165                       89623                187809                      187809               27712                     27712              147199                     147925              209754                       209754                58337                        147850              
NGA50                        98139                       127410               78165                       89623                187809                      187809               27760                     27760              147199                     147925              213402                       213402                58337                        147850              
NA75                         63630                       79589                38766                       42892                88132                       88132                15475                     15475              75472                      76847               92091                        92091                 34078                        76430               
NGA75                        64708                       79589                40137                       42892                88132                       88132                15983                     15983              75472                      79786               117110                       117110                35836                        79647               
LA50                         17                          10                   23                          21                   10                          10                   57                        57                 12                         11                  10                           10                    29                           10                  
LGA50                        17                          10                   23                          21                   10                          10                   56                        56                 12                         11                  9                            9                     29                           10                  
LA75                         34                          22                   47                          40                   19                          19                   116                       116                24                         23                  20                           20                    57                           22                  
LGA75                        33                          22                   46                          40                   19                          19                   114                       114                24                         22                  17                           17                    56                           21                  
