All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     RS-H-Abyss-Contig  RS-H-Cabog-Contig  RS-H-Mira-Contig  RS-H-Msrca-Contig  RS-H-Sga-Contig  RS-H-Soap-Contig  RS-H-Spades-Contig  RS-H-Velvet-Contig
# contigs (>= 200 bp)        604                537                1228              130                862              859               298                 696               
# contigs (>= 1000 bp)       464                531                446               89                 511              613               134                 513               
Total length (>= 200 bp)     4569531            4215836            4675875           4489204            4291843          4487957           4664700             4510543           
Total length (>= 1000 bp)    4501467            4212622            4355336           4468382            4164683          4360313           4607692             4422515           
# contigs                    520                534                640               106                577              720               163                 586               
Total length                 4542138            4214745            4494266           4479673            4211737          4440636           4628908             4475470           
Largest contig               66408              41321              110511            358962             75323            45522             291333              59062             
Reference length             4602977            4602977            4602977           4602977            4602977          4602977           4602977             4602977           
GC (%)                       68.72              68.94              68.89             68.87              68.70            68.88             68.83               68.76             
Reference GC (%)             68.79              68.79              68.79             68.79              68.79            68.79             68.79               68.79             
N50                          13523              12421              18568             176783             12872            11128             74486               13807             
NG50                         13319              11358              17743             176783             12057            10600             83463               13087             
N75                          8662               7179               9191              102004             6960             5955              47310               7500              
NG75                         8354               5447               8354              69776              5330             5310              47313               6852              
L50                          98                 111                69                10                 96               121               19                  98                
LG50                         101                127                72                10                 111              128               18                  103               
L75                          205                222                154               18                 204              259               38                  207               
LG75                         211                269                163               20                 252              281               37                  220               
# misassemblies              8                  4                  9                 4                  1                3                 8                   3                 
Misassembled contigs length  82256              37614              53750             35324              8334             13073             185752              23057             
# local misassemblies        1                  3                  4                 4                  1                9                 4                   4                 
# unaligned contigs          1 + 1 part         0 + 10 part        0 + 4 part        0 + 1 part         0 + 2 part       1 + 10 part       0 + 0 part          0 + 4 part        
Unaligned contigs length     661                360                758               29                 83               1113              0                   179               
Genome fraction (%)          97.818             90.818             97.109            97.028             91.376           96.251            99.272              97.182            
Duplication ratio            1.010              1.013              1.006             1.004              1.001            1.003             1.018               1.001             
# N's per 100 kbp            0.18               0.00               5.36              0.00               0.00             0.00              14.93               0.00              
# mismatches per 100 kbp     8.64               20.07              20.63             72.10              1.12             25.12             5.80                9.52              
# indels per 100 kbp         0.84               1.72               2.71              1.19               0.21             7.61              0.85                0.31              
# genes                      4029 + 361 part    3619 + 514 part    3908 + 503 part   4297 + 59 part     3677 + 592 part  3751 + 652 part   4349 + 104 part     3904 + 516 part   
Largest alignment            66408              41321              110511            358962             75323            45511             291332              59056             
NA50                         13475              12360              18527             176783             12872            11091             74016               13807             
NGA50                        13319              11217              17656             176783             12057            10512             83460               13087             
NA75                         8502               7179               9183              102004             6960             5900              42417               7500              
NGA75                        8339               5447               8287              69769              5330             5304              42417               6851              
LA50                         99                 112                69                10                 96               121               19                  98                
LGA50                        101                128                72                10                 111              128               18                  103               
LA75                         206                223                154               18                 204              260               38                  207               
LGA75                        211                270                164               20                 252              282               38                  221               
