All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B broken    GAGE-B           Velvet_1.2.10 broken  Velvet_1.2.08    Velvet_1.2.10  
# contigs (>= 200 bp)        261              124              264                   142              142            
# contigs (>= 1000 bp)       183              65               190                   79               79             
Total length (>= 200 bp)     3931494          3954039          3896060               3916708          3916708        
Total length (>= 1000 bp)    3894214          3927326          3860441               3886781          3886781        
# contigs                    213              85               220                   104              104            
Total length                 3914915          3940257          3880977               3903678          3903678        
Largest contig               157783           524347           157783                411927           411927         
Reference length             4033464          4033464          4033464               4033464          4033464        
GC (%)                       47.50            47.50            47.63                 47.63            47.63          
Reference GC (%)             47.49            47.49            47.49                 47.49            47.49          
N50                          40877            172545           41373                 163386           163386         
NG50                         40085            172545           40085                 157209           157209         
N75                          22754            92099            19470                 75755            75755          
NG75                         20673            82167            18535                 71623            71623          
L50                          30               7                29                    8                8              
LG50                         31               7                31                    9                9              
L75                          62               14               62                    18               18             
LG75                         66               15               68                    19               19             
# misassemblies              4                10               8                     10               10             
Misassembled contigs length  55189            395034           69468                 273985           273985         
# local misassemblies        8                129              6                     123              123            
# unaligned contigs          1 + 1 part       1 + 0 part       1 + 0 part            1 + 0 part       1 + 0 part     
Unaligned contigs length     576              549              549                   549              549            
Genome fraction (%)          97.038           97.140           96.181                96.251           96.251         
Duplication ratio            1.011            1.016            1.011                 1.016            1.016          
# N's per 100 kbp            0.00             547.10           0.00                  515.80           515.80         
# mismatches per 100 kbp     4.47             5.18             5.70                  5.80             5.80           
# indels per 100 kbp         4.85             9.44             3.38                  5.28             5.28           
# genes                      3386 + 132 part  3400 + 128 part  3371 + 132 part       3379 + 130 part  3379 + 130 part
Largest alignment            157783           521619           157783                409820           409820         
NA50                         40877            171505           41373                 163055           163055         
NGA50                        39468            171505           39468                 156829           156829         
NA75                         22753            91938            19470                 71376            71376          
NGA75                        20673            80883            18535                 59664            59664          
LA50                         30               7                29                    8                8              
LGA50                        31               7                31                    9                9              
LA75                         62               14               62                    18               18             
LGA75                        66               15               68                    20               20             
