Assembly	RS-M-Abyss-Contig	RS-M-Cabog-Contig	RS-M-Mira-Contig	RS-M-Msrca-Contig	RS-M-Sga-Contig	RS-M-Soap-Contig	RS-M-Spades-Contig	RS-M-Velvet-Contig
# contigs (>= 200 bp)	486	146	867	63	986	437	185	416
# contigs (>= 1000 bp)	339	145	528	53	726	302	100	307
Total length (>= 200 bp)	4533981	3952525	4660114	4247935	4613222	4553760	4609322	4512665
Total length (>= 1000 bp)	4474301	3952023	4462783	4242597	4486986	4489150	4584948	4467985
# contigs	382	146	731	58	830	354	105	332
Total length	4503182	3952525	4609809	4246144	4563433	4527360	4588344	4485514
Largest contig	71578	127844	67456	241348	44874	115051	286217	71713
Reference length	4602977	4602977	4602977	4602977	4602977	4602977	4602977	4602977
GC (%)	68.77	69.06	68.75	68.90	68.79	68.83	68.81	68.77
Reference GC (%)	68.79	68.79	68.79	68.79	68.79	68.79	68.79	68.79
N50	22050	41794	15792	142742	9224	33829	118093	24347
NG50	21441	31540	15792	130714	9108	33491	118093	24248
N75	11736	22363	8236	102371	4941	16889	53389	14804
NG75	11021	15957	8326	64787	4854	15849	53389	13982
L50	67	30	90	12	150	44	15	58
LG50	70	39	90	13	152	45	15	60
L75	137	64	191	21	321	88	30	115
LG75	144	89	190	24	327	91	30	121
# misassemblies	2	6	20	5	3	1	9	3
Misassembled contigs length	24651	119353	162528	41134	10550	3702	216655	92376
# local misassemblies	2	2	6	4	1	10	4	8
# unaligned contigs	0 + 2 part	0 + 1 part	0 + 2 part	0 + 1 part	0 + 1 part	0 + 1 part	0 + 0 part	1 + 0 part
Unaligned contigs length	96	78	43	23	11	383	0	688
Genome fraction (%)	97.762	85.599	98.849	91.960	98.390	97.983	99.418	97.422
Duplication ratio	1.003	1.009	1.019	1.004	1.008	1.008	1.004	1.000
# N's per 100 kbp	0.00	5.31	2.58	0.00	0.00	0.00	10.16	0.00
# mismatches per 100 kbp	3.38	7.11	39.58	9.66	0.88	3.13	8.13	10.50
# indels per 100 kbp	0.24	0.46	5.14	0.78	0.40	0.78	0.79	0.65
# genes	4120 + 275 part	3738 + 140 part	3952 + 505 part	4110 + 45 part	3806 + 647 part	4132 + 306 part	4383 + 72 part	4135 + 276 part
Largest alignment	71578	127843	67456	241348	44874	115051	286217	71713
NA50	22050	41176	15445	142742	9224	33829	118093	24300
NGA50	21441	30364	15445	130714	9108	33491	118093	24205
NA75	11706	22361	7925	102371	4933	16889	52010	14804
NGA75	11021	15957	7925	64787	4825	15822	52010	13982
LA50	67	31	91	12	150	44	15	59
LGA50	70	41	91	13	152	45	15	61
LA75	138	66	194	21	322	88	30	116
LGA75	144	91	194	24	328	92	30	122
