Assembly	219_VC-H-Abyss-Contig	219_VC-H-Cabog-Contig	219_VC-H-Mira-Contig	219_VC-H-Msrca-Contig	219_VC-H-Sga-Contig	219_VC-H-Soap-Contig	219_VC-H-Spades-Contig	219_VC-H-Velvet-Contig	221_VC-M-Abyss-Contig	221_VC-M-Cabog-Contig	221_VC-M-Mira-Contig	221_VC-M-Msrca-Contig	221_VC-M-Sga-Contig	221_VC-M-Soap-Contig	221_VC-M-Spades-Contig	221_VC-M-Velvet-Contig
# contigs (>= 0 bp)	338	128	2673	105	2596	344	207	325	564	241	501	173	1901	312	1486	209
# contigs (>= 1000 bp)	121	127	115	80	285	81	121	183	149	241	96	142	247	147	73	124
Total length (>= 0 bp)	4115424	3855763	4337203	3994617	4171725	3969747	3955126	3939751	3959969	3953298	4112140	4034988	4357240	3954533	4451154	3960394
Total length (>= 1000 bp)	4065299	3855600	3932194	3980159	3844703	3919085	3912505	3894214	3872255	3953298	3971344	4014349	3875237	3895651	3990044	3921645
# contigs	153	127	152	91	351	100	162	213	196	241	154	163	326	186	146	156
Total length	4086478	3855600	3957629	3989162	3890290	3932751	3939988	3914915	3904784	3953298	4011692	4030761	3931012	3924635	4035776	3944260
Largest contig	280277	256726	316666	555664	108154	425556	214711	157783	178118	140691	450326	255146	105420	246179	741022	246346
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.57	47.53	47.50	47.50	47.54	47.52	47.51	47.50	47.56	47.52	47.48	47.47	47.53	47.56	47.37	47.52
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	94508	61249	92000	241604	23808	135118	83518	40877	60973	33710	112926	76131	27573	71357	262160	92036
NG50	94508	57883	92000	241604	23429	125939	77074	40085	60473	32790	112926	76131	27303	71357	262160	92036
N75	58395	29636	56477	85155	12382	65780	46841	22754	27970	17245	59711	45736	15449	37218	136216	43442
NG75	59821	26097	55736	79323	10978	62739	44636	20673	24934	16374	56632	45736	14804	34893	136216	39974
L50	13	19	14	6	49	10	16	30	21	34	9	16	45	15	5	15
LG50	13	21	14	6	52	11	17	31	22	35	9	16	47	15	5	15
L75	27	43	27	13	103	21	32	62	44	74	20	33	94	34	11	31
LG75	26	48	28	14	113	22	34	66	48	77	21	33	99	36	11	33
# misassemblies	6	20	24	8	3	15	4	4	2	17	49	19	2	12	5	14
Misassembled contigs length	376802	385832	558799	708761	17831	1155029	75745	55189	70441	128064	1093737	216881	18041	408395	386647	749414
# local misassemblies	17	11	9	5	0	50	2	8	0	7	7	3	0	44	4	2
# unaligned contigs	1 + 0 part	0 + 0 part	0 + 2 part	0 + 2 part	1 + 0 part	1 + 1 part	1 + 1 part	1 + 1 part	1 + 0 part	1 + 2 part	5 + 10 part	0 + 3 part	1 + 2 part	2 + 3 part	57 + 3 part	1 + 5 part
Unaligned contigs length	602	0	173	399	551	603	1261	576	619	5249	13951	811	6359	6480	41368	6703
Genome fraction (%)	97.712	95.623	97.925	98.147	96.276	97.295	97.439	97.038	96.699	96.968	98.311	97.670	96.574	96.940	98.643	97.563
Duplication ratio	1.052	1.007	1.016	1.013	1.002	1.009	1.007	1.011	1.001	1.016	1.016	1.023	1.008	1.003	1.004	1.007
# N's per 100 kbp	100.94	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.74	0.00	0.00	0.00	5.18	0.00
# mismatches per 100 kbp	5.28	17.01	10.38	68.61	3.17	14.02	5.19	4.47	3.31	8.16	8.88	6.27	2.88	8.16	4.88	4.09
# indels per 100 kbp	5.71	7.34	3.85	6.90	2.60	5.58	2.93	4.85	2.64	3.63	4.06	3.17	2.75	4.37	3.24	2.80
# genes	3498 + 59 part	3374 + 123 part	3516 + 65 part	3573 + 46 part	3296 + 166 part	3479 + 50 part	3483 + 46 part	3386 + 132 part	3413 + 55 part	3401 + 144 part	3559 + 64 part	3534 + 66 part	3355 + 134 part	3442 + 85 part	3598 + 28 part	3491 + 79 part
Largest alignment	246076	256726	211909	555664	108154	425699	214707	157783	178118	140691	450326	255146	105420	246179	741022	246346
NA50	92996	57813	89505	236373	23808	112904	83518	40877	60473	33710	108689	76131	27573	71357	262160	67096
NGA50	92996	53007	89505	236373	23429	112904	77065	39468	60272	32784	108689	76131	27303	68152	262160	63574
NA75	58395	28288	52881	76901	12382	62739	46841	22753	27970	17241	52144	45141	15449	37218	106531	40333
NGA75	58395	25832	51186	76901	10978	62256	44636	20673	24934	16374	52144	45141	14804	32753	106531	39408
LA50	14	21	15	6	49	11	16	30	21	34	9	16	45	15	5	16
LGA50	14	22	15	6	52	11	17	31	22	35	9	16	47	16	5	17
LA75	28	46	29	15	103	22	32	62	44	74	22	34	94	34	12	35
LGA75	28	51	30	15	113	23	34	66	48	77	22	34	99	37	12	37
