Assembly	dataset_2026.dat
# contigs (>= 0 bp)	564
# contigs (>= 1000 bp)	149
Total length (>= 0 bp)	3959969
Total length (>= 1000 bp)	3872255
# contigs	196
Total length	3904784
Largest contig	178118
Reference length	4033464
GC (%)	47.56
Reference GC (%)	47.49
N50	60973
NG50	60473
N75	27970
NG75	24934
L50	21
LG50	22
L75	44
LG75	48
# misassemblies	2
Misassembled contigs length	70441
# local misassemblies	0
# unaligned contigs	1 + 0 part
Unaligned contigs length	619
Genome fraction (%)	96.699
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.31
# indels per 100 kbp	2.64
# genes	3413 + 55 part
Largest alignment	178118
NA50	60473
NGA50	60272
NA75	27970
NGA75	24934
LA50	21
LGA50	22
LA75	44
LGA75	48
