All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     1_MA-H-Abyss-Contig    1_MA-H-Cabog-Contig    1_MA-H-Mira-Contig    1_MA-H-Msrca-Contig    1_MA-H-Sga-Contig    1_MA-H-Soap-Contig    1_MA-H-Spades-Contig    1_MA-H-Velvet-Contig    2_MA-M-Abyss-Contig    2_MA-M-Cabog-Contig    2_MA-M-Mira-Contig    2_MA-M-Msrca-Contig    2_MA-M-Sga-Contig    2_MA-M-Soap-Contig    2_MA-M-Spades-Contig    2_MA-M-Velvet-Contig    
# contigs (>= 0 bp)          147                    127                    16036                 66                     679                  143                   99                      189                     328                    857                    2167                  326                    1230                 197                   910                     286                     
# contigs (>= 1000 bp)       87                     127                    59                    57                     281                  65                    60                      132                     131                    856                    103                   316                    612                  84                    53                      189                     
Total length (>= 0 bp)       5134453                5116091                7760947               5146013                5183701              5150322               5139836                 5136597                 5149082                5116733                5922392               5418490                5380709              5152802               5412372                 5161555                 
Total length (>= 1000 bp)    5116313                5116091                5136999               5140375                5107561              5131712               5122962                 5122117                 5104376                5116310                5167879               5411756                5193149              5128622               5146535                 5127654                 
# contigs                    96                     127                    82                    63                     304                  71                    74                      138                     149                    856                    532                   325                    666                  91                    73                      203                     
Total length                 5123560                5116091                5151058               5144734                5122631              5136175               5132082                 5126222                 5116522                5116310                5431987               5418108                5232350              5133667               5158616                 5136825                 
Largest contig               610290                 238341                 338337                375149                 101254               474277                627055                  191465                  245660                 40668                  279306                104386                 59847                286460                498363                  226629                  
Reference length             5090491                5090491                5090491               5090491                5090491              5090491               5090491                 5090491                 5090491                5090491                5090491               5090491                5090491              5090491               5090491                 5090491                 
GC (%)                       64.10                  64.10                  64.11                 64.13                  64.11                64.09                 64.11                   64.11                   64.10                  64.08                  64.09                 64.10                  64.08                64.09                 64.02                   64.07                   
Reference GC (%)             64.15                  64.15                  64.15                 64.15                  64.15                64.15                 64.15                   64.15                   64.15                  64.15                  64.15                 64.15                  64.15                64.15                 64.15                   64.15                   
N50                          119446                 81416                  147272                246830                 28734                148639                150258                  60955                   70424                  8655                   89612                 36211                  12890                131561                220161                  47327                   
NG50                         119446                 81416                  147272                246830                 28781                148639                150258                  61615                   70424                  8716                   114083                38240                  13299                131561                220161                  48155                   
N75                          68977                  42966                  109542                110872                 17153                88169                 94999                   37038                   39013                  4755                   46469                 18405                  7614                 68567                 122266                  25959                   
NG75                         68977                  42966                  109542                110872                 17362                88169                 107346                  37038                   39233                  4805                   51245                 21642                  8066                 68982                 122266                  26101                   
L50                          15                     21                     12                    9                      55                   11                    10                      28                      24                     176                    15                    52                     126                  14                    8                       35                      
LG50                         15                     21                     12                    9                      54                   11                    10                      27                      24                     174                    13                    48                     121                  14                    8                       34                      
L75                          29                     43                     22                    17                     110                  22                    20                      54                      48                     378                    36                    104                    255                  29                    16                      71                      
LG75                         29                     43                     22                    17                     109                  22                    19                      54                      47                     374                    31                    92                     242                  28                    16                      70                      
# misassemblies              4                      7                      22                    6                      3                    8                     4                       4                       2                      122                    1085                  70                     6                    5                     6                       72                      
Misassembled contigs length  302822                 612517                 1331243               1062986                114888               1261153               551561                  215454                  92402                  617425                 2501821               471137                 78397                771028                925594                  1569654                 
# local misassemblies        8                      6                      6                     2                      1                    16                    5                       9                       2                      5                      18                    2                      1                    19                    4                       3                       
