Assembly	dataset_585.dat broken	dataset_585.dat	dataset_586.dat broken	dataset_586.dat
# contigs (>= 0 bp)	167	158	113	37
# contigs (>= 1000 bp)	47	43	81	37
Total length (>= 0 bp)	4983575	4984065	5009370	5010956
Total length (>= 1000 bp)	4966849	4968254	4994206	5010956
# contigs	48	45	94	37
Total length	4967765	4969781	5004541	5010956
Largest contig	654090	654090	710684	712801
Reference length	4744448	4744448	4744448	4744448
GC (%)	61.54	61.53	61.60	61.60
Reference GC (%)	61.55	61.55	61.55	61.55
N50	237457	268392	278382	278382
NG50	244971	268392	278382	278382
N75	122207	137136	133236	189722
NG75	128961	137898	156215	207147
L50	7	6	6	6
LG50	6	6	6	6
L75	15	13	12	11
LG75	14	12	11	10
# misassemblies	0	1	2	2
Misassembled contigs length	0	2772	28456	28456
# local misassemblies	0	0	1	1
# unaligned contigs	9 + 31 part	9 + 28 part	40 + 32 part	10 + 25 part
Unaligned contigs length	4232723	4240350	4265289	4308234
Genome fraction (%)	15.006	14.876	14.751	14.450
Duplication ratio	1.032	1.033	1.056	1.025
# N's per 100 kbp	0.02	9.88	0.00	31.65
# mismatches per 100 kbp	2894.83	2698.92	3837.64	4041.34
# indels per 100 kbp	115.52	117.12	141.51	201.68
# genes	606 + 66 part	603 + 65 part	598 + 73 part	592 + 67 part
Largest alignment	52419	52419	52397	52397
