Assembly	A.hydrophila	B.cereus
# contigs (>= 0 bp)	47	252
# contigs (>= 1000 bp)	38	179
Total length (>= 0 bp)	4929385	5729752
Total length (>= 1000 bp)	4923079	5678972
# contigs	47	252
Total length	4929385	5729752
Largest contig	592124	459337
Reference length	9968731	9968731
GC (%)	61.54	35.26
Reference GC (%)	47.94	47.94
N50	379681	94312
NG50	-	19928
N75	129901	37419
L50	5	15
LG50	-	63
L75	12	38
# misassemblies	1	5
Misassembled contigs length	579	3725
# local misassemblies	0	0
# unaligned contigs	13 + 26 part	179 + 55 part
Unaligned contigs length	4192431	5659887
Genome fraction (%)	7.218	0.571
Duplication ratio	1.024	1.229
# N's per 100 kbp	1.28	16.04
# mismatches per 100 kbp	3611.13	2353.02
# indels per 100 kbp	134.68	179.25
Largest alignment	52419	9186
