All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   CABOG_miseq_ctg  CABOG_hiseq_ctg  MIRA_miseq_ctg  MIRA_hiseq_ctg  MaSuRCA_miseq_ctg  MaSuRCA_hiseq_ctg  SOAPdenovo_miseq_ctg  SOAPdenovo_hiseq_ctg  SPAdes_miseq_ctg  SPAdes_hiseq_ctg  Velvet_miseq_ctg  Velvet_hiseq_ctg
# contigs (>= 200 bp)      188              144              224             1524            173                137                439                   462                   1480              158               179               246             
# contigs (>= 1000 bp)     188              142              131             946             142                108                237                   294                   76                83                108               177             
Total length (>= 200 bp)   318746           3849141          4008924         3956352         4034988            3994843            3930265               3931705               4450408           4000021           3905232           3903763         
Total length (>= 1000 bp)  318746           3848582          3964673         3646461         4014349            3977918            3829930               3851746               3991331           3957821           3872950           3870711         
# contigs                  188              142              162             1234            163                121                327                   364                   148               126               135               205             
Total length               318746           3848582          3986805         3858629         4030761            3988448            3892100               3899782               4036787           3987612           3891789           3889783         
Largest contig             5646             224340           383237          22077           255146             356964             98351                 69685                 741022            369300            246346            157831          
GC (%)                     41.54            47.54            47.50           47.73           47.47              47.51              47.59                 47.53                 47.37             47.51             47.69             47.64           
N50                        1707             57089            108646          4840            76131              108823             29551                 21660                 262160            137662            105176            46346           
N75                        1367             30707            43347           2597            45736              57567              17092                 12597                 136216            95826             43442             22927           
L50                        69               20               11              237             16                 9                  39                    57                    5                 9                 12                28              
L75                        121              43               25              502             33                 23                 83                    115                   11                17                26                59              
# N's per 100 kbp          0.00             0.00             0.70            23.12           0.00               0.00               0.00                  0.00                  5.85              8.75              0.00              0.00            
