All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly              # contigs (>= 200 bp)  # contigs (>= 1000 bp)  Total length (>= 200 bp)  Total length (>= 1000 bp)  # contigs  Total length  Largest contig  GC (%)  N50     N75     L50  L75  # N's per 100 kbp
CABOG_miseq_ctg       188                    188                     318746                    318746                     188        318746        5646            41.54   1707    1367    69   121  0.00             
CABOG_hiseq_ctg       144                    142                     3849141                   3848582                    142        3848582       224340          47.54   57089   30707   20   43   0.00             
MIRA_miseq_ctg        224                    131                     4008924                   3964673                    162        3986805       383237          47.50   108646  43347   11   25   0.70             
MIRA_hiseq_ctg        1524                   946                     3956352                   3646461                    1234       3858629       22077           47.73   4840    2597    237  502  23.12            
MaSuRCA_miseq_ctg     173                    142                     4034988                   4014349                    163        4030761       255146          47.47   76131   45736   16   33   0.00             
MaSuRCA_hiseq_ctg     137                    108                     3994843                   3977918                    121        3988448       356964          47.51   108823  57567   9    23   0.00             
SOAPdenovo_miseq_ctg  439                    237                     3930265                   3829930                    327        3892100       98351           47.59   29551   17092   39   83   0.00             
SOAPdenovo_hiseq_ctg  462                    294                     3931705                   3851746                    364        3899782       69685           47.53   21660   12597   57   115  0.00             
SPAdes_miseq_ctg      1480                   76                      4450408                   3991331                    148        4036787       741022          47.37   262160  136216  5    11   5.85             
SPAdes_hiseq_ctg      158                    83                      4000021                   3957821                    126        3987612       369300          47.51   137662  95826   9    17   8.75             
Velvet_miseq_ctg      179                    108                     3905232                   3872950                    135        3891789       246346          47.69   105176  43442   12   26   0.00             
Velvet_hiseq_ctg      246                    177                     3903763                   3870711                    205        3889783       157831          47.64   46346   22927   28   59   0.00             
