All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      B.cereus
# misassemblies               5       
    # relocations             5       
    # translocations          0       
    # inversions              0       
# misassembled contigs        5       
Misassembled contigs length   3725    
# local misassemblies         0       
# mismatches                  712     
# indels                      55      
    # short indels (<= 5 bp)  55      
    # long indels (> 5 bp)    0       
Indels length                 62      
