All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     AH-H-Abyss-Scaffold  AH-H-Cabog-Scaffold  AH-H-Msrca-Scaffold  AH-H-Sga-Scaffold  AH-H-Soap-Scaffold  AH-H-Spades-Scaffold  AH-H-Velvet-Scaffold
# contigs (>= 500 bp)        45                   37                   26                   138                32                  40                    30                  
# contigs (>= 1000 bp)       43                   37                   23                   131                28                  31                    28                  
Total length (>= 500 bp)     4969781              5010956              4914420              4864352            4889068             4928940               4888113             
Total length (>= 1000 bp)    4968254              5010956              4912437              4859624            4886477             4922634               4886186             
# contigs                    45                   37                   26                   138                32                  40                    30                  
Total length                 4969781              5010956              4914420              4864352            4889068             4928940               4888113             
Largest contig               654090               712801               1124684              199964             656756              703652                803895              
Reference length             4744448              4744448              4744448              4744448            4744448             4744448               4744448             
GC (%)                       61.53                61.60                61.61                61.63              61.61               61.54                 61.61               
Reference GC (%)             61.55                61.55                61.55                61.55              61.55               61.55                 61.55               
N50                          268392               278382               862315               67129              334435              379681                301388              
NG50                         268392               278382               862315               68839              334435              491198                335956              
N75                          137136               189722               245339               39052              230185              230049                229873              
NG75                         137898               207147               245339               40005              230185              237931                229873              
L50                          6                    6                    3                    25                 5                   5                     5                   
LG50                         6                    6                    3                    24                 5                   4                     4                   
L75                          13                   11                   6                    49                 9                   9                     9                   
LG75                         12                   10                   6                    47                 9                   8                     9                   
# misassemblies              1                    2                    2                    3                  0                   1                     0                   
Misassembled contigs length  2772                 28456                3104                 131784             0                   579                   0                   
# local misassemblies        0                    1                    0                    9                  1                   0                     0                   
# unaligned contigs          9 + 28 part          10 + 25 part         1 + 20 part          65 + 61 part       6 + 19 part         11 + 21 part          6 + 20 part         
Unaligned contigs length     4240350              4308234              4256409              4055731            4194663             4195839               4200746             
Genome fraction (%)          14.876               14.450               13.730               15.814             14.613              15.085                14.477              
Duplication ratio            1.033                1.025                1.010                1.078              1.002               1.024                 1.001               
# N's per 100 kbp            9.88                 31.65                0.81                 0.00               0.20                1.28                  23.08               
# mismatches per 100 kbp     2698.92              4041.34              3634.39              4147.71            3651.42             2956.05               3612.72             
# indels per 100 kbp         117.12               201.68               140.76               166.92             126.16              111.67                113.49              
# genes                      603 + 65 part        592 + 67 part        566 + 66 part        623 + 75 part      598 + 64 part       613 + 62 part         592 + 57 part       
Largest alignment            52419                52397                52419                52419              52419               52419                 52419               
