reference chromosomes:
	gi|77404693|ref|NC_007489.1|_Rhodobacter_sphaeroides_2.4.1_plasmid_C__complete_sequence (105284 bp)
	gi|552530953|ref|NC_007490.2|_Rhodobacter_sphaeroides_2.4.1_plasmid_D__complete_sequence (100827 bp)
	gi|552536492|ref|NC_007494.2|_Rhodobacter_sphaeroides_2.4.1_chromosome_2__complete_sequence (943018 bp)
	gi|552530711|ref|NC_007488.2|_Rhodobacter_sphaeroides_2.4.1_plasmid_B__complete_sequence (114179 bp)
	gi|552535527|ref|NC_007493.2|_Rhodobacter_sphaeroides_2.4.1_chromosome_1__complete_sequence (3188524 bp)
	gi|125654605|ref|NC_009007.1|_Rhodobacter_sphaeroides_2.4.1_plasmid_A__partial_sequence (114045 bp)
	gi|125654693|ref|NC_009008.1|_Rhodobacter_sphaeroides_2.4.1_plasmid_E__partial_sequence (37100 bp)

total genome size: 4602977

gap min size: 50
partial gene/operon min size: 100

genes loaded: 4474


assembly                 | genome    | duplication | gaps      | genes     | partial   | operons   | partial   |
                         | fraction  | ratio       | number    |           | genes     |           | operons   |
================================================================================================================
RS-M-Abyss-Scaffold_brok | 97.7618615083%| 1.00293225089| 152       | 4120      | 275       | -         | -         |
RS-M-Abyss-Scaffold      | 97.7618615083%| 1.00293225089| 152       | 4120      | 275       | -         | -         |
RS-M-Cabog-Scaffold_brok | 85.5994935452%| 1.00890758542| 56        | 3738      | 140       | -         | -         |
RS-M-Cabog-Scaffold      | 85.6108774821%| 1.02428001073| 55        | 3751      | 128       | -         | -         |
RS-M-Msrca-Scaffold_brok | 91.9603552223%| 1.00443807741| 25        | 4110      | 45        | -         | -         |
RS-M-Msrca-Scaffold      | 91.9403464323%| 1.00954349405| 22        | 4114      | 39        | -         | -         |
RS-M-Sga-Scaffold_broken | 88.2352225527%| 1.00731906633| 174       | 3435      | 590       | -         | -         |
RS-M-Sga-Scaffold        | 88.2352225527%| 1.00731906633| 174       | 3435      | 590       | -         | -         |
RS-M-Soap-Scaffold_broke | 98.1596258248%| 1.00986639783| 158       | 4133      | 309       | -         | -         |
RS-M-Soap-Scaffold       | 98.1911706272%| 1.01121618898| 160       | 4133      | 309       | -         | -         |
RS-M-Spades-Scaffold_bro | 99.4960000886%| 1.0171003922| 26        | 4406      | 49        | -         | -         |
RS-M-Spades-Scaffold     | 99.496108714%| 1.01712002512| 26        | 4407      | 48        | -         | -         |
RS-M-Velvet-Scaffold_bro | 97.4221683054%| 1.00021541728| 174       | 4135      | 276       | -         | -         |
RS-M-Velvet-Scaffold     | 97.5680956042%| 1.00805894051| 180       | 4152      | 267       | -         | -         |
