Assembly	GAGE-B_abyss_hiseq_ctg
# contigs (>= 0 bp)	338
# contigs (>= 1000 bp)	121
Total length (>= 0 bp)	4115424
Total length (>= 1000 bp)	4065299
# contigs	153
Total length	4086478
Largest contig	280277
Reference length	4033464
GC (%)	47.57
Reference GC (%)	47.49
N50	94508
NG50	94508
N75	58395
NG75	59821
L50	13
LG50	13
L75	27
LG75	26
# misassemblies	6
Misassembled contigs length	376802
# local misassemblies	17
# unaligned contigs	1 + 0 part
Unaligned contigs length	602
Genome fraction (%)	97.712
Duplication ratio	1.052
# N's per 100 kbp	100.94
# mismatches per 100 kbp	5.28
# indels per 100 kbp	5.71
# genes	3498 + 59 part
Largest alignment	246076
NA50	92996
NGA50	92996
NA75	58395
NGA75	58395
LA50	14
LGA50	14
LA75	28
LGA75	28
