All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     VC-M-Abyss-Scaffold broken  VC-M-Abyss-Scaffold  VC-M-Cabog-Scaffold broken  VC-M-Cabog-Scaffold  VC-M-Msrca-Scaffold broken  VC-M-Msrca-Scaffold  VC-M-Sga-Scaffold broken  VC-M-Sga-Scaffold  VC-M-Soap-Scaffold broken  VC-M-Soap-Scaffold  VC-M-Spades-Scaffold broken  VC-M-Spades-Scaffold  VC-M-Velvet-Scaffold broken  VC-M-Velvet-Scaffold
# contigs (>= 0 bp)          564                         564                  241                         241                  173                         173                  648                       647                312                        271                 1484                         1484                  209                          187                 
# contigs (>= 1000 bp)       149                         149                  241                         241                  142                         142                  240                       240                147                        136                 72                           72                    124                          113                 
Total length (>= 0 bp)       3959969                     3959969              3953298                     3953298              4034988                     4034988              4003937                   4003988            3954533                    3958267             4456411                      4456411               3960394                      3960614             
Total length (>= 1000 bp)    3872255                     3872255              3953298                     3953298              4014349                     4014349              3839502                   3839951            3895651                    3911595             3995331                      3995331               3921645                      3928680             
# contigs                    196                         196                  241                         241                  163                         163                  309                       309                186                        165                 145                          145                   156                          138                 
Total length                 3904784                     3904784              3953298                     3953298              4030761                     4030761              3888550                   3888999            3924635                    3933425             4041279                      4041279               3944260                      3945576             
Largest contig               178118                      178118               140691                      140691               255146                      255146               105420                    105420             246179                     246179              741022                       741022                246346                       246346              
Reference length             4033464                     4033464              4033464                     4033464              4033464                     4033464              4033464                   4033464            4033464                    4033464             4033464                      4033464               4033464                      4033464             
GC (%)                       47.56                       47.56                47.52                       47.52                47.47                       47.47                47.54                     47.54              47.56                      47.55               47.37                        47.37                 47.52                        47.51               
Reference GC (%)             47.49                       47.49                47.49                       47.49                47.49                       47.49                47.49                     47.49              47.49                      47.49               47.49                        47.49                 47.49                        47.49               
N50                          60973                       60973                33710                       33710                76131                       76131                27931                     27931              71357                      91942               262160                       262160                92036                        109996              
NG50                         60473                       60473                32790                       32790                76131                       76131                27303                     27303              71357                      91942               262160                       262160                92036                        109996              
N75                          27970                       27970                17245                       17245                45736                       45736                15534                     15534              37218                      39820               136216                       136216                43442                        47047               
NG75                         24934                       24934                16374                       16374                45736                       45736                14781                     14781              34893                      38903               136216                       136216                39974                        46531               
L50                          21                          21                   34                          34                   16                          16                   44                        44                 15                         14                  5                            5                     15                           11                  
LG50                         22                          22                   35                          35                   16                          16                   47                        47                 15                         14                  5                            5                     15                           11                  
L75                          44                          44                   74                          74                   33                          33                   92                        92                 34                         32                  11                           11                    31                           25                  
LG75                         48                          48                   77                          77                   33                          33                   99                        99                 36                         33                  11                           11                    33                           26                  
# misassemblies              2                           2                    17                          17                   19                          19                   2                         2                  12                         14                  5                            5                     14                           22                  
Misassembled contigs length  70441                       70441                128064                      128064               216881                      216881               18041                     18041              408395                     543041              386647                       386647                749414                       1210318             
# local misassemblies        0                           0                    7                           7                    3                           3                    0                         1                  44                         77                  4                            4                     2                            13                  
# unaligned contigs          1 + 0 part                  1 + 0 part           1 + 2 part                  1 + 2 part           0 + 3 part                  0 + 3 part           0 + 1 part                0 + 1 part         2 + 3 part                 2 + 2 part          57 + 3 part                  57 + 3 part           1 + 5 part                   1 + 3 part          
Unaligned contigs length     619                         619                  5249                        5249                 811                         811                  461                       461                6480                       6469                46754                        46754                 6703                         6324                
Genome fraction (%)          96.699                      96.699               96.968                      96.968               97.670                      97.670               95.708                    95.708             96.940                     97.050              98.648                       98.648                97.563                       97.598              
Duplication ratio            1.001                       1.001                1.016                       1.016                1.023                       1.023                1.007                     1.007              1.003                      1.005               1.004                        1.004                 1.007                        1.007               
# N's per 100 kbp            0.00                        0.00                 0.00                        0.00                 0.00                        0.00                 0.00                      1.31               0.00                       92.34               5.30                         5.30                  0.00                         5.58                
# mismatches per 100 kbp     3.31                        3.31                 8.21                        8.21                 6.27                        6.27                 2.82                      2.82               8.16                       8.48                4.88                         4.90                  4.09                         3.96                
# indels per 100 kbp         2.64                        2.64                 3.63                        3.63                 3.17                        3.17                 2.75                      2.75               4.37                       5.52                3.24                         3.24                  2.80                         4.88                
# genes                      3413 + 55 part              3413 + 55 part       3401 + 144 part             3401 + 144 part      3534 + 66 part              3534 + 66 part       3314 + 129 part           3316 + 129 part    3442 + 85 part             3443 + 86 part      3599 + 27 part               3599 + 27 part        3491 + 79 part               3492 + 78 part      
Largest alignment            178118                      178118               140691                      140691               255146                      255146               105420                    105420             246179                     246179              741022                       741022                246346                       246346              
NA50                         60473                       60473                33710                       33710                76131                       76131                27931                     27931              71357                      91942               262160                       262160                67096                        75901               
NGA50                        60272                       60272                32784                       32784                76131                       76131                27303                     27303              68152                      89759               262160                       262160                63574                        67096               
NA75                         27970                       27970                17241                       17241                45141                       45141                15534                     15534              37218                      39451               106531                       106531                40333                        43122               
NGA75                        24934                       24934                16374                       16374                45141                       45141                14781                     14781              32753                      38469               106531                       106531                39408                        40333               
LA50                         21                          21                   34                          34                   16                          16                   44                        44                 15                         14                  5                            5                     16                           13                  
LGA50                        22                          22                   35                          35                   16                          16                   47                        47                 16                         15                  5                            5                     17                           14                  
LA75                         44                          44                   74                          74                   34                          34                   92                        92                 34                         32                  12                           12                    35                           32                  
LGA75                        48                          48                   77                          77                   34                          34                   99                        99                 37                         34                  12                           12                    37                           33                  
